,total_raw_counts,total_norm_counts,size_factor,n_genes_detected,pct_zeros,median_raw_count,outlier_flag
TCGA-AA-3028,185137,176835.29675213224,1.0469459627141302,444,1.3333333333333335,118.5,0
TCGA-AA-3029,182759,179763.41181987178,1.0166640594423624,449,0.2222222222222222,122.0,0
TCGA-AA-3030,187148,182492.2193060603,1.0255122147762992,448,0.4444444444444444,120.5,0
TCGA-AA-3031,179874,169774.3146692582,1.0594888888252458,448,0.4444444444444444,124.5,0
TCGA-AA-3032,198898,190458.1143597218,1.0443136049553532,447,0.6666666666666667,104.0,0
TCGA-AA-3033,194870,185529.41193249484,1.0503455919479965,448,0.4444444444444444,125.0,0
TCGA-AA-3034,169775,178746.11526597507,0.9498108518183682,447,0.6666666666666667,112.0,1
TCGA-AA-3035,179000,167989.26381727704,1.0655442849889467,450,0.0,119.5,0
TCGA-AA-3036,180476,168160.65302881665,1.0732356038666961,448,0.4444444444444444,128.5,0
TCGA-AA-3037,211611,214473.55278396857,0.986653119945041,447,0.6666666666666667,109.0,1
TCGA-AA-3038,189103,177050.26137740788,1.068075237668811,449,0.2222222222222222,123.0,0
TCGA-AA-3039,198284,189027.56121464574,1.0489687256497127,448,0.4444444444444444,116.5,0
TCGA-AA-3040,187450,179645.92984768865,1.043441396968626,447,0.6666666666666667,122.0,0
TCGA-AA-3041,191045,180295.3305360285,1.0596225616715205,449,0.2222222222222222,134.5,0
TCGA-AA-3042,192701,179960.74143757112,1.070794654771127,449,0.2222222222222222,121.0,0
TCGA-AA-3043,206388,187987.58590088697,1.0978810064022755,449,0.2222222222222222,120.0,0
TCGA-AA-3044,180684,167424.13910644685,1.0791992180119419,447,0.6666666666666667,127.5,0
TCGA-AA-3045,194810,178067.55396162093,1.0940230023151079,450,0.0,125.0,0
TCGA-AA-3046,209943,210939.3743096831,0.9952764896883579,447,0.6666666666666667,110.0,0
TCGA-AA-3047,186697,182234.15157614645,1.0244896381125836,445,1.1111111111111112,116.5,0
TCGA-AA-3048,176672,173230.71160410924,1.0198653481477076,447,0.6666666666666667,123.5,0
TCGA-AA-3049,184552,175870.4147276805,1.0493635344282446,448,0.4444444444444444,119.5,0
TCGA-AA-3050,186768,171274.13641672628,1.090462365815558,449,0.2222222222222222,121.5,0
TCGA-AA-3051,194464,182621.8421858321,1.0648452434409108,446,0.8888888888888888,119.5,0
TCGA-AA-3052,185998,176405.6366774975,1.0543767393331038,448,0.4444444444444444,125.5,0
TCGA-AA-3053,186063,172107.5679450606,1.0810855223948908,445,1.1111111111111112,122.0,0
TCGA-AA-3054,176927,171308.0309485053,1.0328003831483168,449,0.2222222222222222,116.0,0
TCGA-AA-3055,197952,179619.5547527703,1.102062636066895,446,0.8888888888888888,115.5,0
TCGA-AA-3056,188361,177300.21877405222,1.0623844759043608,450,0.0,124.5,0
TCGA-AA-3057,159472,156203.1477000169,1.0209269297585528,449,0.2222222222222222,115.5,0
TCGA-AA-3058,201420,192506.32833577791,1.0463032656706976,449,0.2222222222222222,132.5,0
TCGA-AA-3059,171437,167373.19973873987,1.0242798743622248,449,0.2222222222222222,120.5,0
TCGA-AA-3060,180186,177338.60581676662,1.0160562567305589,447,0.6666666666666667,117.5,0
TCGA-AA-3061,184046,177052.5020382586,1.0394995714899877,450,0.0,123.5,0
TCGA-AA-3062,174189,167515.4475289774,1.0398384302430865,448,0.4444444444444444,122.0,0
TCGA-AA-3063,189729,180786.29716375342,1.0494656009694496,448,0.4444444444444444,130.5,0
TCGA-AA-3064,187177,184197.59545072564,1.01617504583588,446,0.8888888888888888,112.5,0
TCGA-AA-3065,204065,183255.3037105748,1.1135557654707289,448,0.4444444444444444,125.0,0
TCGA-AA-3066,178556,160799.22015862778,1.1104282708825033,448,0.4444444444444444,122.0,0
TCGA-AA-3067,186888,169272.98385550556,1.1040627732983719,447,0.6666666666666667,127.0,0
TCGA-AA-3068,172822,168720.66329325846,1.0243084434750762,446,0.8888888888888888,113.0,0
TCGA-AA-3069,204184,195192.73859533886,1.0460635035368875,449,0.2222222222222222,111.5,0
TCGA-AA-3070,201660,189313.43281113292,1.0652175971114766,445,1.1111111111111112,123.0,0
TCGA-AA-3071,169473,166465.10718342356,1.018069209022057,446,0.8888888888888888,108.5,0
TCGA-AA-3072,201283,187447.95833633866,1.0738073745185162,446,0.8888888888888888,136.0,0
TCGA-AA-3073,179941,172366.69765943743,1.043942956751007,448,0.4444444444444444,131.5,0
TCGA-AA-3074,187112,182007.5533717862,1.0280452461101268,448,0.4444444444444444,117.5,0
TCGA-AA-3075,191189,181069.77671801165,1.0558857666111086,449,0.2222222222222222,123.0,0
TCGA-AA-3076,194112,186140.6543856916,1.0428243128327648,447,0.6666666666666667,119.0,0
TCGA-AA-3077,182893,168753.55929019637,1.08378751102659,450,0.0,116.0,0
TCGA-AA-3078,190563,189596.43089143798,1.005098034303797,449,0.2222222222222222,119.5,0
TCGA-AA-3079,188483,186430.30933826178,1.0110104986095034,447,0.6666666666666667,121.5,0
TCGA-AA-3080,191494,176942.8824091327,1.0822362413946767,447,0.6666666666666667,125.5,0
TCGA-AA-3081,185079,176960.06215508218,1.0458800576019387,449,0.2222222222222222,119.5,0
TCGA-AA-3082,179440,173299.54903188616,1.035432584807154,447,0.6666666666666667,117.0,0
TCGA-AA-3083,176924,167156.72417103118,1.0584318451884422,447,0.6666666666666667,119.0,0
TCGA-AA-3084,183686,174951.72901343153,1.0499238906401314,449,0.2222222222222222,119.0,0
TCGA-AA-3085,185093,175970.2436966473,1.0518426076574587,448,0.4444444444444444,136.0,0
TCGA-AA-3086,177206,163054.14422985827,1.0867923709451492,445,1.1111111111111112,130.0,0
TCGA-AA-3087,192409,174697.63576177438,1.1013829646920787,447,0.6666666666666667,123.0,0
TCGA-AA-3088,196992,187117.850381918,1.0527696828385338,447,0.6666666666666667,122.0,0
TCGA-AA-3089,202382,181652.9906915928,1.1141132289068696,446,0.8888888888888888,124.5,0
TCGA-AA-3090,191916,189825.9219503183,1.0110104986095034,449,0.2222222222222222,112.0,0
TCGA-AA-3091,179236,168282.68062863196,1.0650888096769742,446,0.8888888888888888,135.5,0
TCGA-AA-3092,174328,165226.67384731205,1.0550838792597048,448,0.4444444444444444,115.0,0
TCGA-AA-3093,185356,176182.16957114977,1.0520701410998656,447,0.6666666666666667,110.5,0
TCGA-AA-3094,179419,180464.48782552624,0.9942066838848813,450,0.0,122.5,0
TCGA-AA-3095,170655,167719.19411878134,1.0175042927951317,444,1.3333333333333335,121.5,0
TCGA-AA-3096,171860,168811.47812926,1.0180587357241533,448,0.4444444444444444,120.0,0
TCGA-AA-3097,174582,165070.5384506503,1.0576205883776968,447,0.6666666666666667,126.0,0
TCGA-AA-3098,190497,188123.37879800214,1.0126173642912641,450,0.0,109.0,0
TCGA-AA-3099,184131,170472.91349471212,1.0801188072949286,446,0.8888888888888888,118.5,0
TCGA-AA-3100,175812,165459.8891723922,1.062565682108139,450,0.0,118.0,0
TCGA-AA-3101,167046,154560.30587205436,1.0807820226383438,449,0.2222222222222222,120.0,0
TCGA-AA-3102,188320,171041.48805733008,1.1010194201355317,447,0.6666666666666667,123.0,0
TCGA-AA-3103,185861,167782.03720398285,1.1077526718431572,448,0.4444444444444444,130.5,0
TCGA-AA-3104,179143,171817.32522230185,1.0426364149728207,449,0.2222222222222222,122.0,0
TCGA-AA-3105,173432,168141.86799014203,1.0314623125881301,445,1.1111111111111112,109.0,0
TCGA-AA-3106,202029,184627.9737328472,1.0942491319995298,448,0.4444444444444444,126.0,0
TCGA-AA-3107,202986,194591.86728297625,1.043137119933265,450,0.0,115.0,0
TCGA-AA-3108,187361,173251.6067862598,1.0814387437753863,444,1.3333333333333335,122.5,0
TCGA-AA-3109,176267,174829.29171047313,1.0082234977643665,447,0.6666666666666667,112.5,0
TCGA-AA-3110,162193,166667.74185135216,0.9731517220930306,449,0.2222222222222222,108.0,1
TCGA-AA-3111,195857,185158.58946459313,1.0577797150342445,447,0.6666666666666667,119.5,0
TCGA-AA-3112,175823,166357.96659548074,1.056895582449229,447,0.6666666666666667,119.5,0
TCGA-AA-3113,189297,179707.76203460485,1.0533601768606333,446,0.8888888888888888,127.5,0
TCGA-AA-3114,177132,173158.36930950877,1.0229479562918997,449,0.2222222222222222,110.0,0
TCGA-AA-3115,189105,179731.28333120543,1.0521540629714465,446,0.8888888888888888,120.0,0
TCGA-AA-3116,188091,170483.60182526408,1.1032791305804444,447,0.6666666666666667,125.0,0
TCGA-AA-3117,187045,177707.15216715712,1.0525462690666463,448,0.4444444444444444,109.0,0
TCGA-AA-3118,175992,166524.8453775106,1.0568513040863508,450,0.0,116.0,0
TCGA-AA-3119,183529,170822.8397225179,1.074382092571004,448,0.4444444444444444,126.0,0
TCGA-AA-3120,189909,170371.6354562103,1.114674983846189,447,0.6666666666666667,116.0,0
TCGA-AA-3121,197431,191390.10290109168,1.0315632679398798,447,0.6666666666666667,122.0,0
TCGA-AA-3122,187209,175182.8523404611,1.0686491143332142,448,0.4444444444444444,121.5,0
TCGA-AA-3123,180882,175316.15138618913,1.0317474948531715,448,0.4444444444444444,119.0,0
TCGA-AA-3124,195751,191561.14069566873,1.0218721776719197,448,0.4444444444444444,123.5,0
TCGA-AA-3125,205619,186057.2745359219,1.105138192058711,447,0.6666666666666667,110.5,0
TCGA-AA-3126,202705,197014.16241471848,1.0288854238473588,448,0.4444444444444444,112.5,0
TCGA-AA-3127,202493,184416.78457513909,1.0980182767338942,446,0.8888888888888888,131.0,0
TCGA-AA-3128,180866,172638.16040890836,1.0476594489399291,450,0.0,121.0,0
TCGA-AA-3129,200345,190258.2416847429,1.0530161438786487,447,0.6666666666666667,121.5,0
TCGA-AA-3130,197871,188901.54802423544,1.0474821517852984,448,0.4444444444444444,119.0,0
TCGA-AA-3131,188863,184016.14255185996,1.0263393057854915,449,0.2222222222222222,117.5,0
TCGA-AA-3132,176121,163924.36275500106,1.0744040546506675,449,0.2222222222222222,121.0,0
TCGA-AA-3133,193270,182865.74682441185,1.056895582449229,447,0.6666666666666667,124.5,0
TCGA-AA-3134,212211,192249.39326774864,1.103831832147582,446,0.8888888888888888,130.5,0
TCGA-AA-3135,206178,178633.15543225562,1.15419782795132,447,0.6666666666666667,127.0,1
TCGA-AA-3136,186836,180887.8154566894,1.0328832792208429,448,0.4444444444444444,115.0,0
TCGA-AA-3137,204726,192983.1863915085,1.0608488948082173,450,0.0,120.5,0
TCGA-AA-3138,196842,189555.5546184358,1.038439629987269,445,1.1111111111111112,118.5,0
TCGA-AA-3139,168384,163281.42296679268,1.031250199443969,449,0.2222222222222222,124.5,0
TCGA-AA-3140,192722,174879.21577753278,1.1020291870771275,449,0.2222222222222222,119.0,0
TCGA-AA-3141,186343,169818.79290323704,1.0973049378944677,447,0.6666666666666667,123.5,0
TCGA-AA-3142,174647,162425.78852365434,1.0752418171241684,445,1.1111111111111112,124.0,0
TCGA-AA-3143,197853,180761.10834853724,1.0945551385893628,446,0.8888888888888888,129.0,0
TCGA-AA-3144,197331,186730.7467768717,1.0567675833042898,449,0.2222222222222222,132.0,0
TCGA-AA-3145,190721,181942.25559193734,1.0482501680519547,447,0.6666666666666667,126.5,0
TCGA-AA-3146,187046,174583.21912049138,1.07138590376723,448,0.4444444444444444,123.0,0
TCGA-AA-3147,187102,176592.1177286249,1.0595150135043172,446,0.8888888888888888,122.5,0
TCGA-AA-3148,203989,194961.63941459142,1.0463032656706976,447,0.6666666666666667,118.0,0
TCGA-AA-3149,190392,171109.43210082687,1.1126914376514956,446,0.8888888888888888,127.5,0
TCGA-AA-3150,186297,185833.41760910093,1.002494612631374,448,0.4444444444444444,110.0,0
TCGA-AA-3151,193821,179311.3407607616,1.0809188040069215,448,0.4444444444444444,111.0,0
TCGA-AA-3152,205920,183486.34375832608,1.1222633564011815,446,0.8888888888888888,122.5,1
TCGA-AA-3153,178084,172367.31811834808,1.033165694889601,449,0.2222222222222222,128.0,0
TCGA-AA-3154,193814,180865.8947537183,1.0715895346876363,447,0.6666666666666667,120.5,0
TCGA-AA-3155,170934,164476.93902236584,1.0392581538543595,448,0.4444444444444444,115.5,0
TCGA-AA-3156,186429,172787.20748467185,1.0789514033701733,445,1.1111111111111112,126.5,0
TCGA-AA-3157,192048,183290.5694621662,1.0477789477305404,448,0.4444444444444444,120.5,0
TCGA-AA-3158,179574,176893.4495655609,1.0151534748235298,446,0.8888888888888888,119.5,0
TCGA-AA-3159,183399,165470.0410051372,1.1083516924632064,447,0.6666666666666667,124.5,0
TCGA-AA-3160,197052,187622.19111295836,1.0502595606154306,446,0.8888888888888888,120.5,0
TCGA-AA-3161,192441,181945.36698703442,1.0576856294104675,447,0.6666666666666667,119.5,0
TCGA-AA-3162,177073,178895.36245846428,0.9898132493016,447,0.6666666666666667,116.5,0
TCGA-AA-3163,183058,173073.71533428296,1.0576880472371724,448,0.4444444444444444,116.5,0
TCGA-AA-3164,198724,186332.31249102153,1.0665031595610963,447,0.6666666666666667,133.0,0
TCGA-AA-3165,182893,176866.2627653747,1.034075109296679,448,0.4444444444444444,125.5,0
TCGA-AA-3166,214305,202997.58668592334,1.0557022056206582,448,0.4444444444444444,123.0,0
TCGA-AA-3167,214283,191035.6586862011,1.1216911097837783,449,0.2222222222222222,121.5,1
TCGA-AA-3168,183247,178339.38473766684,1.0275184041346344,444,1.3333333333333335,125.0,0
TCGA-AA-3169,187285,183728.49990908598,1.019357367488843,445,1.1111111111111112,119.0,0
TCGA-AA-3170,179172,170916.18068356474,1.0483033220343259,447,0.6666666666666667,118.5,0
TCGA-AA-3171,180424,171136.2917217772,1.0542708281497777,447,0.6666666666666667,123.0,0
TCGA-AA-3172,202040,187737.68553625967,1.0761824373347673,449,0.2222222222222222,111.5,0
TCGA-AA-3173,179736,171592.05901127495,1.0474610598861684,447,0.6666666666666667,113.5,0
TCGA-AA-3174,177593,163992.39069095693,1.082934392576015,446,0.8888888888888888,121.5,0
TCGA-AA-3175,194447,185490.7586721031,1.0482840298460856,449,0.2222222222222222,114.0,0
TCGA-AA-3176,180060,163772.3782587284,1.0994528009817404,447,0.6666666666666667,120.0,0
TCGA-AA-3177,192231,170644.8220915427,1.1264977023262819,448,0.4444444444444444,130.0,1
TCGA-AA-3178,179665,165775.75272763905,1.0837833461397717,449,0.2222222222222222,126.0,0
TCGA-AA-3179,194657,177626.7791673348,1.0958764264740832,446,0.8888888888888888,137.0,0
TCGA-AA-3180,205382,190040.30887076657,1.0807286160520095,448,0.4444444444444444,116.0,0
TCGA-AA-3181,191446,188925.56400015068,1.013340894405626,445,1.1111111111111112,107.5,0
TCGA-AA-3182,195348,195466.88059783418,0.9993918120682616,448,0.4444444444444444,118.5,0
TCGA-AA-3183,201491,193531.32088074472,1.041128635318725,449,0.2222222222222222,125.5,0
TCGA-AA-3184,164751,160602.39140795532,1.02583154930431,446,0.8888888888888888,112.0,0
TCGA-AA-3185,203661,186498.36398846243,1.092025665236395,447,0.6666666666666667,126.0,0
TCGA-AA-3186,192380,180995.22335238787,1.0629009784719379,449,0.2222222222222222,109.5,0
TCGA-AA-3187,191922,174082.15971918253,1.1024794287340844,448,0.4444444444444444,128.5,0
TCGA-AA-3188,204325,188548.5464066757,1.0836731647842908,448,0.4444444444444444,136.5,0
TCGA-AA-3189,201951,190805.8842644837,1.0584107548804291,448,0.4444444444444444,120.5,0
TCGA-AA-3190,197921,182906.39344780188,1.0820890197940676,446,0.8888888888888888,130.0,0
TCGA-AA-3191,183854,173347.9775948071,1.0606065473100024,447,0.6666666666666667,121.0,0
TCGA-AA-3192,180702,174456.6987783437,1.0357985750354664,444,1.3333333333333335,110.5,0
TCGA-AA-3193,179989,167472.1803709081,1.0747396946846355,446,0.8888888888888888,122.5,0
TCGA-AA-3194,176578,173454.9951220291,1.0180046984278186,449,0.2222222222222222,119.0,0
TCGA-AA-3195,177967,173355.63110451496,1.026600629388871,445,1.1111111111111112,110.0,0
TCGA-AA-3196,168421,160139.45978642325,1.0517145507086247,447,0.6666666666666667,116.5,0
TCGA-AA-3197,173760,162615.98104810494,1.0685296665190518,447,0.6666666666666667,115.0,0
TCGA-AA-3198,191927,173724.65878107934,1.1047769576675843,443,1.5555555555555556,125.0,0
TCGA-AA-3199,189706,183081.78057304042,1.0361817511618359,447,0.6666666666666667,124.0,0
TCGA-AA-3200,173433,166368.14167432155,1.0424652115157267,448,0.4444444444444444,113.0,0
TCGA-AA-3201,174794,181448.62117391048,0.9633250386205342,449,0.2222222222222222,118.0,1
TCGA-AA-3202,189237,176320.00552110412,1.0732588139429806,446,0.8888888888888888,121.0,0
TCGA-AA-3203,185281,182204.8255484071,1.016883056979057,448,0.4444444444444444,116.0,0
TCGA-AA-3204,176293,168775.36587270183,1.0445422475515078,447,0.6666666666666667,118.0,0
TCGA-AA-3205,179401,171314.69714837044,1.0472014543190435,447,0.6666666666666667,115.0,0
TCGA-AA-3206,195083,185186.1639714227,1.0534426320861883,448,0.4444444444444444,117.0,0
TCGA-AA-3207,187405,183786.44444802427,1.019688914287686,447,0.6666666666666667,130.0,0
TCGA-AA-3208,185995,176965.06353129528,1.0510266619213675,448,0.4444444444444444,123.5,0
TCGA-AA-3209,188315,184924.85464822146,1.0183325565307464,449,0.2222222222222222,103.5,0
TCGA-AA-3210,179192,175857.27935888403,1.0189626534271041,447,0.6666666666666667,116.5,0
TCGA-AA-3211,187079,191545.72839470714,0.9766806159962866,449,0.2222222222222222,120.0,1
TCGA-AA-3212,189529,186443.3550885587,1.0165500396084144,449,0.2222222222222222,114.0,0
TCGA-AA-3213,182364,177916.3257532628,1.024998685353391,449,0.2222222222222222,108.0,0
TCGA-AA-3214,215768,200101.00617139332,1.0782954275361682,448,0.4444444444444444,133.0,0
TCGA-AA-3215,175030,161380.55724238948,1.0845792268340568,448,0.4444444444444444,120.5,0
TCGA-AA-3216,173360,158287.21226110117,1.0952242921180244,444,1.3333333333333335,126.0,0
TCGA-AA-3217,183054,178904.16963632524,1.0231958280911535,449,0.2222222222222222,120.5,0
TCGA-AA-3218,189267,183432.2330840135,1.031808841978793,447,0.6666666666666667,126.5,0
TCGA-AA-3219,189857,175453.06642289535,1.082095650254335,449,0.2222222222222222,132.5,0
TCGA-AA-3220,178151,168194.84809012566,1.0591941550108566,447,0.6666666666666667,125.0,0
TCGA-AA-3221,204651,193030.67508004876,1.0601993694273324,447,0.6666666666666667,114.5,0
TCGA-AA-3222,205457,185049.9349972516,1.1102786931703137,448,0.4444444444444444,126.5,0
TCGA-AA-3223,197308,193516.81904729272,1.0195909635729428,445,1.1111111111111112,121.0,0
TCGA-AA-3224,199668,195593.10506724607,1.0208335305651648,447,0.6666666666666667,119.5,0
TCGA-AA-3225,184997,178426.30139851043,1.0368258409774134,448,0.4444444444444444,123.0,0
TCGA-AA-3226,184980,175151.60658569174,1.0561136355292282,448,0.4444444444444444,124.0,0
TCGA-AA-3227,193799,191360.49661022663,1.0127429821356508,446,0.8888888888888888,115.0,0
TCGA-AA-3228,202571,188213.23297768986,1.0762845778437484,449,0.2222222222222222,124.0,0
TCGA-AA-3229,171034,169999.51189323651,1.006085241629477,448,0.4444444444444444,122.0,0
TCGA-AA-3230,204160,182846.0442582147,1.1165677705976826,447,0.6666666666666667,134.5,1
TCGA-AA-3231,192443,181120.67469603597,1.0625126056037812,448,0.4444444444444444,126.0,0
TCGA-AA-3232,200551,190731.87117183558,1.0514813217520322,447,0.6666666666666667,114.5,0
TCGA-AA-3233,170556,168885.60727979837,1.009890675393281,446,0.8888888888888888,108.5,0
TCGA-AA-3234,169547,168756.84341100638,1.00468221953565,448,0.4444444444444444,117.0,0
TCGA-AA-3235,173043,170632.588468016,1.0141263257717958,446,0.8888888888888888,117.5,0
TCGA-AA-3236,165151,158391.73605092656,1.0426743472708713,446,0.8888888888888888,118.5,0
TCGA-AA-3237,190998,187787.21803260385,1.0170979793035684,448,0.4444444444444444,120.0,0
TCGA-AA-3238,197165,189981.9360983065,1.0378091941224172,450,0.0,131.0,0
TCGA-AA-3239,185221,172550.89418493726,1.073428224611129,446,0.8888888888888888,132.5,0
TCGA-AA-3240,186766,177908.51576765324,1.0497867355822053,445,1.1111111111111112,111.0,0
TCGA-AA-3241,185578,179056.45612099938,1.0364217187153175,449,0.2222222222222222,123.0,0
TCGA-AA-3242,185801,181763.69863591518,1.022211813439007,448,0.4444444444444444,111.5,0
TCGA-AA-3243,180978,177715.22454813466,1.0183595719509198,449,0.2222222222222222,119.0,0
TCGA-AA-3244,195330,191572.03215964313,1.0196164742733702,446,0.8888888888888888,125.0,0
TCGA-AA-3245,192389,178330.88868065918,1.0788316114126195,447,0.6666666666666667,121.5,0
TCGA-AA-3246,182853,161999.19908477738,1.1287278025634522,447,0.6666666666666667,130.5,1
TCGA-AA-3247,175675,163539.8131997019,1.074203257071595,449,0.2222222222222222,131.0,0
TCGA-AA-3248,182389,177088.9906906072,1.0299285081964946,448,0.4444444444444444,123.5,0
TCGA-AA-3249,170383,164328.89985219695,1.0368413599388075,448,0.4444444444444444,116.0,0
TCGA-AA-3250,177294,167774.39454074344,1.0567405144588065,448,0.4444444444444444,117.5,0
TCGA-AA-3251,197616,194871.97543588944,1.0140811656369404,450,0.0,122.0,0
TCGA-AA-3252,190390,173135.32985127077,1.099660018342597,442,1.7777777777777777,132.5,0
TCGA-AA-3253,193250,182220.36552276838,1.0605290986306,447,0.6666666666666667,118.0,0
TCGA-AA-3254,176078,160030.00970717554,1.1002811305341367,448,0.4444444444444444,133.0,0
TCGA-AA-3255,216249,199248.37500866337,1.0853237823926918,448,0.4444444444444444,133.0,0
TCGA-AA-3256,175536,168927.68952488375,1.0391191668678024,447,0.6666666666666667,119.5,0
TCGA-AA-3257,180521,164835.5636259956,1.0951580837833876,448,0.4444444444444444,135.0,0
TCGA-AA-3258,200906,185920.67943416152,1.080600612107515,447,0.6666666666666667,109.0,0
TCGA-AA-3259,181198,168992.26039427472,1.0722266190016523,444,1.3333333333333335,125.0,0
TCGA-AA-3260,190997,181895.02349252242,1.0500397225427762,449,0.2222222222222222,122.0,0
TCGA-AA-3261,200713,186326.20547830142,1.0772129421342935,445,1.1111111111111112,124.0,0
TCGA-AA-3262,201819,187941.43866014876,1.0738398164810572,449,0.2222222222222222,135.5,0
TCGA-AA-3263,172122,167491.8687770407,1.0276439164287,447,0.6666666666666667,121.0,0
TCGA-AA-3264,198538,187819.48755406798,1.0570681593561821,448,0.4444444444444444,123.5,0
TCGA-AA-3265,169282,162100.35908169855,1.0443036706333384,444,1.3333333333333335,121.5,0
TCGA-AA-3266,224368,203325.7218707151,1.1034904877537564,449,0.2222222222222222,117.0,0
TCGA-AA-3267,202209,189291.63662160002,1.068240539354743,448,0.4444444444444444,124.5,0
TCGA-AA-3268,184926,173873.5668816961,1.063565919285615,446,0.8888888888888888,123.5,0
TCGA-AA-3269,193974,178727.11700878438,1.0853081683764094,448,0.4444444444444444,124.0,0
TCGA-AA-3270,192358,180028.99679019465,1.0684834300564012,447,0.6666666666666667,122.0,0
TCGA-AA-3271,175340,170854.67920465098,1.026252256105766,448,0.4444444444444444,127.5,0
TCGA-AA-3272,191436,174350.09474769043,1.097997682634101,446,0.8888888888888888,123.0,0
TCGA-AA-3273,179793,161072.8570705409,1.1162215861190117,448,0.4444444444444444,127.0,0
TCGA-AA-3274,169372,163963.89530014832,1.0329835095095279,446,0.8888888888888888,114.0,0
TCGA-AA-3275,206349,183755.42846862116,1.122954580007072,449,0.2222222222222222,128.0,1
TCGA-AA-3276,183015,164341.9874695278,1.113622895877017,447,0.6666666666666667,122.5,0
TCGA-AA-3277,171598,173113.35135334672,0.9912464790179373,447,0.6666666666666667,117.0,0
TCGA-AA-3278,193739,174491.6674496198,1.1103051671847732,448,0.4444444444444444,134.5,0
TCGA-AA-3279,164739,165320.08819548145,0.9964850720694369,448,0.4444444444444444,114.0,0
TCGA-AA-3280,198405,183150.55025004767,1.0832891286929036,446,0.8888888888888888,115.0,0
TCGA-AA-3281,177387,171123.3327654618,1.0366032330794017,448,0.4444444444444444,125.5,0
TCGA-AA-3282,200865,182208.36756073986,1.1023917435242971,446,0.8888888888888888,129.0,0
TCGA-AA-3283,180365,178559.83087264042,1.01010960370279,449,0.2222222222222222,115.5,0
TCGA-AA-3284,206488,191423.99200709764,1.0786944616239318,447,0.6666666666666667,127.5,0
TCGA-AA-3285,172796,172433.27843713015,1.0021035473323794,446,0.8888888888888888,123.0,0
TCGA-AA-3286,173766,165146.62415119485,1.0521922618346347,449,0.2222222222222222,117.0,0
TCGA-AA-3287,192198,191994.33443545186,1.0010607894506212,448,0.4444444444444444,107.0,0
TCGA-AA-3288,161783,162775.9464038325,0.9938999193322516,445,1.1111111111111112,112.5,0
TCGA-AA-3289,188049,175538.4037643979,1.071269853019704,447,0.6666666666666667,117.5,0
TCGA-AA-3290,185991,177696.6091870931,1.0466772599142504,449,0.2222222222222222,120.5,0
TCGA-AA-3291,199280,196123.4676625972,1.0160946182270914,445,1.1111111111111112,118.5,0
