gene_id,gene_name
ENSG00000006210.7,CX3CL1
ENSG00000006282.21,SPATA20
ENSG00000006283.18,CACNA1G
ENSG00000006327.14,TNFRSF12A
ENSG00000006377.11,DLX6
ENSG00000006432.15,MAP3K9
ENSG00000006451.8,RALA
ENSG00000006453.14,BAIAP2L1
ENSG00000006459.11,KDM7A
ENSG00000006468.14,ETV1
ENSG00000006530.18,AGK
ENSG00000006534.16,ALDH3B1
ENSG00000006555.11,TTC22
ENSG00000006576.16,PHTF2
ENSG00000006606.9,CCL26
ENSG00000006607.14,FARP2
ENSG00000006611.17,USH1C
ENSG00000006625.18,GGCT
ENSG00000006634.8,DBF4
ENSG00000006638.13,TBXA2R
ENSG00000006652.15,IFRD1
ENSG00000006659.13,LGALS14
ENSG00000006695.12,COX10
ENSG00000006704.11,GTF2IRD1
ENSG00000006712.15,PAF1
ENSG00000006715.16,VPS41
ENSG00000006740.17,ARHGAP44
ENSG00000006744.19,ELAC2
ENSG00000006747.15,SCIN
ENSG00000006756.16,ARSD
ENSG00000006757.12,PNPLA4
ENSG00000006788.14,MYH13
ENSG00000006831.10,ADIPOR2
ENSG00000006837.12,CDKL3
ENSG00000007001.13,UPP2
ENSG00000007038.11,PRSS21
ENSG00000007047.15,MARK4
ENSG00000007062.12,PROM1
ENSG00000007080.11,CCDC124
ENSG00000007129.18,CEACAM21
ENSG00000007168.14,PAFAH1B1
ENSG00000007171.18,NOS2
ENSG00000007174.18,DNAH9
ENSG00000007202.15,KIAA0100
ENSG00000007216.15,SLC13A2
ENSG00000007237.19,GAS7
ENSG00000007255.10,TRAPPC6A
ENSG00000007264.15,MATK
ENSG00000007306.15,CEACAM7
ENSG00000007312.13,CD79B
ENSG00000007314.12,SCN4A
ENSG00000007341.19,ST7L
ENSG00000007350.17,TKTL1
ENSG00000007372.24,PAX6
ENSG00000007376.8,RPUSD1
ENSG00000007384.15,RHBDF1
ENSG00000007392.17,LUC7L
ENSG00000007402.12,CACNA2D2
ENSG00000007516.14,BAIAP3
ENSG00000007520.4,TSR3
ENSG00000007541.17,PIGQ
ENSG00000007545.16,CRAMP1
ENSG00000007866.22,TEAD3
ENSG00000007908.16,SELE
ENSG00000007923.16,DNAJC11
ENSG00000007933.13,FMO3
ENSG00000007944.15,MYLIP
ENSG00000007952.18,NOX1
ENSG00000007968.7,E2F2
ENSG00000008018.9,PSMB1
ENSG00000008056.14,SYN1
ENSG00000008083.14,JARID2
ENSG00000008086.13,CDKL5
ENSG00000008118.10,CAMK1G
ENSG00000008128.23,CDK11A
ENSG00000008130.15,NADK
ENSG00000008196.13,TFAP2B
ENSG00000008226.20,DLEC1
ENSG00000008256.16,CYTH3
ENSG00000008277.14,ADAM22
ENSG00000008282.9,SYPL1
ENSG00000008283.16,CYB561
ENSG00000008294.21,SPAG9
ENSG00000008300.17,CELSR3
ENSG00000008311.15,AASS
ENSG00000008323.15,PLEKHG6
ENSG00000008324.12,SS18L2
ENSG00000008382.16,MPND
ENSG00000008394.13,MGST1
ENSG00000008405.12,CRY1
ENSG00000008438.5,PGLYRP1
ENSG00000008441.18,NFIX
ENSG00000008513.16,ST3GAL1
ENSG00000008516.17,MMP25
ENSG00000008517.18,IL32
ENSG00000008710.20,PKD1
ENSG00000008735.14,MAPK8IP2
ENSG00000008838.20,MED24
ENSG00000008853.17,RHOBTB2
ENSG00000008869.12,HEATR5B
ENSG00000008952.17,SEC62
ENSG00000008988.11,RPS20
ENSG00000009307.16,CSDE1
ENSG00000009335.18,UBE3C
ENSG00000009413.16,REV3L
ENSG00000009694.13,TENM1
ENSG00000009709.12,PAX7
ENSG00000009724.17,MASP2
ENSG00000009765.15,IYD
ENSG00000009780.16,FAM76A
ENSG00000009790.15,TRAF3IP3
ENSG00000009830.12,POMT2
ENSG00000009844.16,VTA1
ENSG00000009950.16,MLXIPL
ENSG00000009954.11,BAZ1B
ENSG00000010017.13,RANBP9
ENSG00000010030.14,ETV7
ENSG00000010072.16,SPRTN
ENSG00000010165.20,EEF1AKNMT
ENSG00000010219.13,DYRK4
ENSG00000010244.19,ZNF207
ENSG00000010256.11,UQCRC1
ENSG00000010270.14,STARD3NL
ENSG00000010278.15,CD9
ENSG00000010282.15,HHATL
ENSG00000010292.13,NCAPD2
ENSG00000010295.20,IFFO1
ENSG00000010310.9,GIPR
ENSG00000010318.21,PHF7
ENSG00000010319.7,SEMA3G
ENSG00000010322.16,NISCH
ENSG00000010327.10,STAB1
ENSG00000010361.14,FUZ
ENSG00000010379.16,SLC6A13
ENSG00000010404.18,IDS
ENSG00000010438.17,PRSS3
ENSG00000010539.12,ZNF200
ENSG00000010610.10,CD4
ENSG00000010626.15,LRRC23
ENSG00000010671.16,BTK
ENSG00000010704.18,HFE
ENSG00000010803.16,SCMH1
ENSG00000010810.17,FYN
ENSG00000010818.10,HIVEP2
ENSG00000010932.17,FMO1
ENSG00000011007.12,ELOA
ENSG00000011009.11,LYPLA2
ENSG00000011021.23,CLCN6
ENSG00000011028.14,MRC2
ENSG00000011083.9,SLC6A7
ENSG00000011105.14,TSPAN9
ENSG00000011114.15,BTBD7
ENSG00000011132.12,APBA3
ENSG00000011143.19,MKS1
ENSG00000011198.10,ABHD5
ENSG00000011201.12,ANOS1
ENSG00000011243.18,AKAP8L
ENSG00000011258.16,MBTD1
ENSG00000011260.14,UTP18
ENSG00000011275.19,RNF216
ENSG00000011295.16,TTC19
ENSG00000011304.22,PTBP1
ENSG00000011332.19,DPF1
ENSG00000011347.10,SYT7
ENSG00000011376.12,LARS2
ENSG00000011405.13,PIK3C2A
ENSG00000011422.12,PLAUR
ENSG00000011426.11,ANLN
ENSG00000011451.21,WIZ
ENSG00000011454.18,RABGAP1
ENSG00000011465.18,DCN
ENSG00000011478.13,QPCTL
ENSG00000011485.15,PPP5C
ENSG00000011523.14,CEP68
ENSG00000011566.15,MAP4K3
ENSG00000011590.14,ZBTB32
ENSG00000011600.12,TYROBP
ENSG00000011638.11,TMEM159
ENSG00000011677.13,GABRA3
ENSG00000012048.23,BRCA1
ENSG00000012061.16,ERCC1
ENSG00000012124.17,CD22
ENSG00000012171.20,SEMA3B
ENSG00000012174.12,MBTPS2
ENSG00000012211.13,PRICKLE3
ENSG00000012223.13,LTF
ENSG00000012232.9,EXTL3
ENSG00000012504.15,NR1H4
ENSG00000012660.14,ELOVL5
ENSG00000012779.11,ALOX5
ENSG00000012817.16,KDM5D
ENSG00000012822.16,CALCOCO1
ENSG00000012963.15,UBR7
ENSG00000012983.11,MAP4K5
ENSG00000013016.16,EHD3
ENSG00000013275.8,PSMC4
ENSG00000013288.9,MAN2B2
ENSG00000013293.6,SLC7A14
ENSG00000013297.12,CLDN11
ENSG00000013306.16,SLC25A39
ENSG00000013364.19,MVP
ENSG00000013374.16,NUB1
ENSG00000013375.16,PGM3
ENSG00000013392.8,RWDD2A
ENSG00000013441.16,CLK1
ENSG00000013503.10,POLR3B
ENSG00000013523.11,ANGEL1
ENSG00000013561.18,RNF14
ENSG00000013563.14,DNASE1L1
ENSG00000013573.17,DDX11
ENSG00000013583.10,HEBP1
ENSG00000013588.9,GPRC5A
ENSG00000013619.14,MAMLD1
ENSG00000013725.14,CD6
ENSG00000013810.20,TACC3
ENSG00000014123.10,UFL1
ENSG00000014138.9,POLA2
ENSG00000014164.7,ZC3H3
ENSG00000014216.16,CAPN1
ENSG00000014257.16,ACP3
ENSG00000014641.21,MDH1
ENSG00000014824.14,SLC30A9
ENSG00000014914.21,MTMR11
ENSG00000014919.13,COX15
ENSG00000015133.19,CCDC88C
ENSG00000015153.15,YAF2
ENSG00000015171.20,ZMYND11
ENSG00000015285.11,WAS
ENSG00000015413.9,DPEP1
ENSG00000015475.19,BID
ENSG00000015479.20,MATR3
ENSG00000015520.15,NPC1L1
ENSG00000015532.10,XYLT2
ENSG00000015568.13,RGPD5
ENSG00000015592.16,STMN4
ENSG00000015676.18,NUDCD3
ENSG00000016082.15,ISL1
ENSG00000016391.11,CHDH
ENSG00000016402.13,IL20RA
ENSG00000016490.16,CLCA1
ENSG00000016602.9,CLCA4
ENSG00000016864.18,GLT8D1
ENSG00000017260.20,ATP2C1
ENSG00000017427.17,IGF1
ENSG00000017483.15,SLC38A5
ENSG00000017797.13,RALBP1
ENSG00000018189.13,RUFY3
ENSG00000018236.15,CNTN1
ENSG00000018280.17,SLC11A1
ENSG00000018408.15,WWTR1
ENSG00000018510.17,AGPS
ENSG00000018607.7,ZNF806
ENSG00000018610.15,CXorf56
ENSG00000018625.15,ATP1A2
ENSG00000018699.13,TTC27
ENSG00000018869.17,ZNF582
ENSG00000019102.12,VSIG2
ENSG00000019144.19,PHLDB1
ENSG00000019169.10,MARCO
ENSG00000019186.10,CYP24A1
ENSG00000019485.13,PRDM11
ENSG00000019505.8,SYT13
ENSG00000019549.13,SNAI2
ENSG00000019582.15,CD74
ENSG00000019991.18,HGF
ENSG00000019995.6,ZRANB1
ENSG00000020129.16,NCDN
ENSG00000020181.18,ADGRA2
ENSG00000020219.9,CCT8L1P
ENSG00000020256.20,ZFP64
ENSG00000020426.11,MNAT1
ENSG00000020577.14,SAMD4A
ENSG00000020633.19,RUNX3
ENSG00000020922.13,MRE11
ENSG00000021300.14,PLEKHB1
ENSG00000021355.13,SERPINB1
ENSG00000021461.17,CYP3A43
ENSG00000021488.13,SLC7A9
ENSG00000021574.13,SPAST
ENSG00000021645.20,NRXN3
ENSG00000021762.20,OSBPL5
ENSG00000021776.11,AQR
ENSG00000021826.17,CPS1
ENSG00000021852.13,C8B
ENSG00000022267.19,FHL1
ENSG00000022277.13,RTF2
ENSG00000022355.18,GABRA1
ENSG00000022556.16,NLRP2
ENSG00000022567.10,SLC45A4
ENSG00000022840.16,RNF10
ENSG00000022976.15,ZNF839
ENSG00000023041.11,ZDHHC6
ENSG00000023171.18,GRAMD1B
ENSG00000023191.17,RNH1
ENSG00000023228.14,NDUFS1
ENSG00000023287.13,RB1CC1
ENSG00000023318.8,ERP44
ENSG00000023330.15,ALAS1
ENSG00000023445.16,BIRC3
ENSG00000023516.9,AKAP11
ENSG00000023572.10,GLRX2
ENSG00000023608.5,SNAPC1
ENSG00000023697.13,DERA
ENSG00000023734.11,STRAP
ENSG00000023839.12,ABCC2
ENSG00000023892.11,DEF6
ENSG00000023902.14,PLEKHO1
ENSG00000023909.10,GCLM
ENSG00000024048.11,UBR2
ENSG00000024422.12,EHD2
ENSG00000024526.17,DEPDC1
ENSG00000024862.18,CCDC28A
ENSG00000025039.15,RRAGD
ENSG00000025156.13,HSF2
ENSG00000025293.17,PHF20
ENSG00000025423.11,HSD17B6
ENSG00000025434.19,NR1H3
ENSG00000025708.14,TYMP
ENSG00000025770.19,NCAPH2
ENSG00000025772.8,TOMM34
ENSG00000025796.14,SEC63
ENSG00000025800.14,KPNA6
ENSG00000026025.16,VIM
ENSG00000026036.22,RTEL1-TNFRSF6B
ENSG00000026103.22,FAS
ENSG00000026297.16,RNASET2
ENSG00000026508.20,CD44
ENSG00000026559.14,KCNG1
ENSG00000026652.15,AGPAT4
ENSG00000026751.17,SLAMF7
ENSG00000026950.17,BTN3A1
ENSG00000027001.10,MIPEP
ENSG00000027075.15,PRKCH
ENSG00000027644.5,INSRR
ENSG00000027697.15,IFNGR1
ENSG00000027847.14,B4GALT7
ENSG00000027869.12,SH2D2A
ENSG00000028116.18,VRK2
ENSG00000028137.19,TNFRSF1B
ENSG00000028203.18,VEZT
ENSG00000028277.21,POU2F2
ENSG00000028310.18,BRD9
ENSG00000028528.15,SNX1
ENSG00000028839.10,TBPL1
ENSG00000029153.14,ARNTL2
ENSG00000029363.17,BCLAF1
ENSG00000029364.12,SLC39A9
ENSG00000029534.21,ANK1
ENSG00000029559.7,IBSP
ENSG00000029639.11,TFB1M
ENSG00000029725.17,RABEP1
ENSG00000029993.15,HMGB3
ENSG00000030066.13,NUP160
ENSG00000030110.13,BAK1
ENSG00000030304.14,MUSK
ENSG00000030419.16,IKZF2
ENSG00000030582.18,GRN
ENSG00000031003.10,FAM13B
ENSG00000031081.11,ARHGAP31
ENSG00000031691.7,CENPQ
ENSG00000031698.13,SARS1
ENSG00000031823.14,RANBP3
ENSG00000032219.19,ARID4A
ENSG00000032389.13,EIPR1
ENSG00000032444.17,PNPLA6
ENSG00000032742.18,IFT88
ENSG00000033011.13,ALG1
ENSG00000033030.15,ZCCHC8
ENSG00000033050.9,ABCF2
ENSG00000033100.16,CHPF2
ENSG00000033122.21,LRRC7
ENSG00000033170.17,FUT8
ENSG00000033178.13,UBA6
ENSG00000033327.13,GAB2
ENSG00000033627.17,ATP6V0A1
ENSG00000033800.14,PIAS1
ENSG00000033867.16,SLC4A7
ENSG00000034053.14,APBA2
ENSG00000034152.19,MAP2K3
ENSG00000034239.11,EFCAB1
ENSG00000034510.6,TMSB10
ENSG00000034533.12,ASTE1
ENSG00000034677.13,RNF19A
ENSG00000034693.15,PEX3
ENSG00000034713.8,GABARAPL2
ENSG00000034971.17,MYOC
ENSG00000035115.22,SH3YL1
ENSG00000035141.8,FAM136A
ENSG00000035403.18,VCL
ENSG00000035499.13,DEPDC1B
ENSG00000035664.11,DAPK2
ENSG00000035681.9,NSMAF
ENSG00000035687.10,ADSS2
ENSG00000035720.8,STAP1
ENSG00000035862.12,TIMP2
ENSG00000035928.16,RFC1
ENSG00000036054.13,TBC1D23
ENSG00000036257.13,CUL3
ENSG00000036448.10,MYOM2
ENSG00000036473.8,OTC
ENSG00000036530.9,CYP46A1
ENSG00000036549.13,ZZZ3
ENSG00000036565.15,SLC18A1
ENSG00000036672.16,USP2
ENSG00000036828.17,CASR
ENSG00000037042.9,TUBG2
ENSG00000037241.7,RPL26L1
ENSG00000037280.16,FLT4
ENSG00000037474.15,NSUN2
ENSG00000037637.11,FBXO42
ENSG00000037749.12,MFAP3
ENSG00000037757.14,MRI1
ENSG00000037897.17,METTL1
ENSG00000037965.6,HOXC8
ENSG00000038002.9,AGA
ENSG00000038210.14,PI4K2B
ENSG00000038219.13,BOD1L1
ENSG00000038274.17,MAT2B
ENSG00000038295.8,TLL1
ENSG00000038358.15,EDC4
ENSG00000038382.20,TRIO
ENSG00000038427.16,VCAN
ENSG00000038532.16,CLEC16A
ENSG00000038945.15,MSR1
ENSG00000039068.19,CDH1
ENSG00000039123.16,MTREX
ENSG00000039139.9,DNAH5
ENSG00000039319.17,ZFYVE16
ENSG00000039523.20,RIPOR1
ENSG00000039537.14,C6
ENSG00000039560.14,RAI14
ENSG00000039600.11,SOX30
ENSG00000039650.12,PNKP
ENSG00000039987.7,BEST2
ENSG00000040199.18,PHLPP2
ENSG00000040275.17,SPDL1
ENSG00000040341.18,STAU2
ENSG00000040487.13,SLC66A1
ENSG00000040531.16,CTNS
ENSG00000040608.14,RTN4R
ENSG00000040633.13,PHF23
ENSG00000040731.10,CDH10
ENSG00000040933.16,INPP4A
ENSG00000041353.10,RAB27B
ENSG00000041357.16,PSMA4
ENSG00000041515.16,MYO16
ENSG00000041802.11,LSG1
ENSG00000041880.14,PARP3
ENSG00000041982.16,TNC
ENSG00000041988.15,THAP3
ENSG00000042062.13,RIPOR3
ENSG00000042088.14,TDP1
ENSG00000042286.15,AIFM2
ENSG00000042304.12,C2orf83
ENSG00000042317.17,SPATA7
ENSG00000042429.12,MED17
ENSG00000042445.14,RETSAT
ENSG00000042493.16,CAPG
ENSG00000042753.12,AP2S1
ENSG00000042781.14,USH2A
ENSG00000042813.8,ZPBP
ENSG00000042832.12,TG
ENSG00000042980.13,ADAM28
ENSG00000043039.7,BARX2
ENSG00000043093.15,DCUN1D1
ENSG00000043143.20,JADE2
ENSG00000043355.12,ZIC2
ENSG00000043462.13,LCP2
ENSG00000043514.17,TRIT1
ENSG00000043591.6,ADRB1
ENSG00000044012.4,GUCA2B
ENSG00000044090.10,CUL7
ENSG00000044115.21,CTNNA1
ENSG00000044446.12,PHKA2
ENSG00000044459.15,CNTLN
ENSG00000044524.11,EPHA3
ENSG00000044574.8,HSPA5
ENSG00000046604.13,DSG2
ENSG00000046647.13,GEMIN8
ENSG00000046651.15,OFD1
ENSG00000046653.15,GPM6B
ENSG00000046774.10,MAGEC2
ENSG00000046889.19,PREX2
ENSG00000047056.16,WDR37
ENSG00000047188.16,YTHDC2
ENSG00000047230.15,CTPS2
ENSG00000047249.18,ATP6V1H
ENSG00000047315.17,POLR2B
ENSG00000047346.12,FAM214A
ENSG00000047365.12,ARAP2
ENSG00000047410.14,TPR
ENSG00000047457.14,CP
ENSG00000047578.13,KATNIP
ENSG00000047579.20,DTNBP1
ENSG00000047597.7,XK
ENSG00000047617.15,ANO2
ENSG00000047621.12,C12orf4
ENSG00000047634.15,SCML1
ENSG00000047644.19,WWC3
ENSG00000047648.23,ARHGAP6
ENSG00000047662.5,FAM184B
ENSG00000047849.21,MAP4
ENSG00000047932.14,GOPC
ENSG00000047936.11,ROS1
ENSG00000048028.11,USP28
ENSG00000048052.22,HDAC9
ENSG00000048140.18,TSPAN17
ENSG00000048162.21,NOP16
ENSG00000048342.17,CC2D2A
ENSG00000048392.12,RRM2B
ENSG00000048405.10,ZNF800
ENSG00000048462.11,TNFRSF17
ENSG00000048471.14,SNX29
ENSG00000048540.15,LMO3
ENSG00000048544.6,MRPS10
ENSG00000048545.16,GUCA1A
ENSG00000048649.13,RSF1
ENSG00000048707.15,VPS13D
ENSG00000048740.18,CELF2
ENSG00000048828.17,FAM120A
ENSG00000048991.16,R3HDM1
ENSG00000049089.15,COL9A2
ENSG00000049130.16,KITLG
ENSG00000049167.15,ERCC8
ENSG00000049192.15,ADAMTS6
ENSG00000049239.13,H6PD
ENSG00000049245.13,VAMP3
ENSG00000049246.14,PER3
ENSG00000049247.14,UTS2
ENSG00000049249.9,TNFRSF9
ENSG00000049283.18,EPN3
ENSG00000049323.16,LTBP1
ENSG00000049449.10,RCN1
ENSG00000049540.18,ELN
ENSG00000049541.11,RFC2
ENSG00000049618.24,ARID1B
ENSG00000049656.14,CLPTM1L
ENSG00000049759.19,NEDD4L
ENSG00000049768.16,FOXP3
ENSG00000049769.14,PPP1R3F
ENSG00000049860.14,HEXB
ENSG00000049883.15,PTCD2
ENSG00000050030.16,NEXMIF
ENSG00000050130.18,JKAMP
ENSG00000050165.18,DKK3
ENSG00000050327.15,ARHGEF5
ENSG00000050344.9,NFE2L3
ENSG00000050393.11,MCUR1
ENSG00000050405.13,LIMA1
ENSG00000050426.16,LETMD1
ENSG00000050438.17,SLC4A8
ENSG00000050555.19,LAMC3
ENSG00000050628.20,PTGER3
ENSG00000050730.16,TNIP3
ENSG00000050748.18,MAPK9
ENSG00000050767.17,COL23A1
ENSG00000050820.17,BCAR1
ENSG00000051009.11,FAM160A2
ENSG00000051108.15,HERPUD1
ENSG00000051128.19,HOMER3
ENSG00000051180.17,RAD51
ENSG00000051341.14,POLQ
ENSG00000051382.9,PIK3CB
ENSG00000051523.11,CYBA
ENSG00000051596.10,THOC3
ENSG00000051620.11,HEBP2
ENSG00000051825.15,MPHOSPH9
ENSG00000052126.14,PLEKHA5
ENSG00000052344.16,PRSS8
ENSG00000052723.12,SIKE1
ENSG00000052749.14,RRP12
ENSG00000052795.13,FNIP2
ENSG00000052802.13,MSMO1
ENSG00000052841.15,TTC17
ENSG00000052850.8,ALX4
ENSG00000053108.17,FSTL4
ENSG00000053254.16,FOXN3
ENSG00000053328.8,METTL24
ENSG00000053371.12,AKR7A2
ENSG00000053372.5,MRTO4
ENSG00000053438.11,NNAT
ENSG00000053501.13,USE1
ENSG00000053524.12,MCF2L2
ENSG00000053702.15,NRIP2
ENSG00000053747.17,LAMA3
ENSG00000053770.12,AP5M1
ENSG00000053900.11,ANAPC4
ENSG00000053918.18,KCNQ1
ENSG00000054116.12,TRAPPC3
ENSG00000054118.15,THRAP3
ENSG00000054148.18,PHPT1
ENSG00000054179.12,ENTPD2
ENSG00000054219.11,LY75
ENSG00000054267.22,ARID4B
ENSG00000054277.14,OPN3
ENSG00000054282.16,SDCCAG8
ENSG00000054356.14,PTPRN
ENSG00000054392.13,HHAT
ENSG00000054523.18,KIF1B
ENSG00000054598.9,FOXC1
ENSG00000054611.14,TBC1D22A
ENSG00000054654.19,SYNE2
ENSG00000054690.14,PLEKHH1
ENSG00000054793.14,ATP9A
ENSG00000054796.13,SPO11
ENSG00000054803.4,CBLN4
ENSG00000054938.16,CHRDL2
ENSG00000054965.11,FAM168A
ENSG00000054967.13,RELT
ENSG00000054983.17,GALC
ENSG00000055044.11,NOP58
ENSG00000055070.17,SZRD1
ENSG00000055118.16,KCNH2
ENSG00000055130.17,CUL1
ENSG00000055147.19,FAM114A2
ENSG00000055163.20,CYFIP2
ENSG00000055208.19,TAB2
ENSG00000055211.14,GINM1
ENSG00000055332.18,EIF2AK2
ENSG00000055483.19,USP36
ENSG00000055609.19,KMT2C
ENSG00000055732.13,MCOLN3
ENSG00000055813.6,CCDC85A
ENSG00000055917.16,PUM2
ENSG00000055950.16,MRPL43
ENSG00000055955.17,ITIH4
ENSG00000055957.11,ITIH1
ENSG00000056050.7,HPF1
ENSG00000056097.16,ZFR
ENSG00000056277.16,ZNF280C
ENSG00000056291.17,NPFFR2
ENSG00000056487.16,PHF21B
ENSG00000056558.11,TRAF1
ENSG00000056586.16,RC3H2
ENSG00000056736.10,IL17RB
ENSG00000056972.20,TRAF3IP2
ENSG00000056998.20,GYG2
ENSG00000057019.16,DCBLD2
ENSG00000057149.16,SERPINB3
ENSG00000057252.13,SOAT1
ENSG00000057294.15,PKP2
ENSG00000057468.7,MSH4
ENSG00000057593.14,F7
ENSG00000057608.17,GDI2
ENSG00000057657.17,PRDM1
ENSG00000057663.16,ATG5
ENSG00000057704.13,TMCC3
ENSG00000057757.10,PITHD1
ENSG00000057935.14,MTA3
ENSG00000058056.9,USP13
ENSG00000058063.16,ATP11B
ENSG00000058085.15,LAMC2
ENSG00000058091.17,CDK14
ENSG00000058262.10,SEC61A1
ENSG00000058272.19,PPP1R12A
ENSG00000058335.16,RASGRF1
ENSG00000058404.20,CAMK2B
ENSG00000058453.17,CROCC
ENSG00000058600.16,POLR3E
ENSG00000058668.15,ATP2B4
ENSG00000058673.17,ZC3H11A
ENSG00000058729.11,RIOK2
ENSG00000058799.15,YIPF1
ENSG00000058804.12,NDC1
ENSG00000058866.15,DGKG
ENSG00000059122.17,FLYWCH1
ENSG00000059145.19,UNKL
ENSG00000059377.18,TBXAS1
ENSG00000059378.13,PARP12
ENSG00000059573.9,ALDH18A1
ENSG00000059588.10,TARBP1
ENSG00000059691.12,GATB
ENSG00000059728.11,MXD1
ENSG00000059758.8,CDK17
ENSG00000059769.20,DNAJC25
ENSG00000059804.16,SLC2A3
ENSG00000059915.17,PSD
ENSG00000060069.17,CTDP1
ENSG00000060138.13,YBX3
ENSG00000060140.9,STYK1
ENSG00000060237.18,WNK1
ENSG00000060303.5,RPS17P5
ENSG00000060339.14,CCAR1
ENSG00000060491.16,OGFR
ENSG00000060558.4,GNA15
ENSG00000060566.14,CREB3L3
ENSG00000060642.11,PIGV
ENSG00000060656.20,PTPRU
ENSG00000060688.13,SNRNP40
ENSG00000060709.15,RIMBP2
ENSG00000060718.22,COL11A1
ENSG00000060749.16,QSER1
ENSG00000060762.19,MPC1
ENSG00000060971.19,ACAA1
ENSG00000060982.15,BCAT1
ENSG00000061273.18,HDAC7
ENSG00000061337.15,LZTS1
ENSG00000061455.11,PRDM6
ENSG00000061656.10,SPAG4
ENSG00000061676.15,NCKAP1
ENSG00000061794.13,MRPS35
